상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도,url,운영시간
더쌍화피카디리,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 137,서울특별시 종로구 돈화문로5가길 1,126.991208911517,37.5710170721997,https://place.map.kakao.com/27192353,[]
앰퍼샌드컴퍼니,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-6,서울특별시 종로구 돈화문로11다길 27,126.990372912512,37.5734066956355,https://place.map.kakao.com/1982560276,[]
플러스카페,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 146-12,서울특별시 종로구 종로1길 36,126.978971792155,37.5734978535778,https://place.map.kakao.com/21538434,[]
감꽃당,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 166-17,서울특별시 종로구 돈화문로11다길 38,126.990062058823,37.5737914843372,https://place.map.kakao.com/923427859,"['월~토', '09:00 ~ 22:30', '일', '10:00 ~ 22:30']"
라온,,카페,커피 전문점,종로1.2.3.4가동,경운동,서울특별시 종로구 경운동 89-4,서울특별시 종로구 삼일대로 461,126.985848842339,37.5756024973128,https://place.map.kakao.com/20103820,[]
블루도트,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 18,서울특별시 종로구 종로 125,126.991530580506,37.5706684142602,https://place.map.kakao.com/1522948737,[]
서울에서첫번째전통찻집,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,종로1가,서울특별시 종로구 종로1가 24,서울특별시 종로구 종로 19,126.979902392746,37.5708388183663,https://place.map.kakao.com/1672855331,[]
라비타,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 25,서울특별시 종로구 종로16길 22,126.988563830815,37.5690571997121,https://place.map.kakao.com/961256758,[]
청수당,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 144,서울특별시 종로구 돈화문로11나길 31-9,126.989744142341,37.5738608473255,https://place.map.kakao.com/78911659,"['매일', '10:30 ~ 21:00']"
에그라상,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 43-11,서울특별시 종로구 청계천로 57,126.984037348175,37.568946248288,https://place.map.kakao.com/1311833286,"['월~금', '07:30 ~ 21:00', '토', '11:00 ~ 21:00', '휴무일', '일요일']"
이원,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,청진동,서울특별시 종로구 청진동 2-2,서울특별시 종로구 삼봉로 60,126.980403533438,37.5722758027088,https://place.map.kakao.com/705064576,[]
달지게스트하우스,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 233,서울특별시 종로구 종로17길 46,126.988329370639,37.5721637841259,https://place.map.kakao.com/498542379,[]
오타르,,카페,커피 전문점,종로1.2.3.4가동,익선동,서울특별시 종로구 익선동 169-2,서울특별시 종로구 수표로28길 27,126.990062054751,37.5729535159087,https://place.map.kakao.com/215379134,"['매일', '10:00 ~ 22:00']"
코스트파이브커피종로학원가점,,카페,커피 전문점,종로1.2.3.4가동,관철동,서울특별시 종로구 관철동 5-1,서울특별시 종로구 종로16길 12,126.988489339437,37.5695431240324,https://place.map.kakao.com/1359282109,[]
마샐,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 6,서울특별시 종로구 종로 51,126.983594194964,37.5707355059583,https://place.map.kakao.com/276107182,[]
카페아이엠티,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 15,서울특별시 종로구 율곡로4길 7,126.982153207301,37.5751381902405,https://place.map.kakao.com/2100953406,"['매일', '07:00 ~ 21:00']"
나무새찻집,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 173,서울특별시 종로구 인사동길 47-9,126.984022835891,37.5741811722907,https://place.map.kakao.com/1740702672,"['매일', '10:00 ~ 22:00']"
프롬하츠커피,,카페,커피 전문점,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로2가 56-24,서울특별시 종로구 삼일대로 396,126.987975607716,37.5698630961028,https://place.map.kakao.com/1864594404,"['월~금', '07:30 ~ 22:30', '토', '08:00 ~ 22:30', '일', '08:00 ~ 22:00']"
잔별,,카페,커피 전문점,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 18-3,서울특별시 종로구 돈화문로10길 14,126.992422773864,37.5725051472624,https://place.map.kakao.com/1095450782,[]
오마래,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 82-9,서울특별시 종로구 삼일대로26길 19,126.989173063889,37.5733964276377,https://place.map.kakao.com/1879794226,"['매일', '11:30 ~ 23:30']"
밀탑인사동N285호텔점,,카페,커피 전문점,종로1.2.3.4가동,낙원동,서울특별시 종로구 낙원동 285,서울특별시 종로구 삼일대로 423,126.98739876211,37.572336013507,https://place.map.kakao.com/1858942659,"['매일', '10:00 ~ 22:00']"
더치앤빈,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 85,서울특별시 종로구 율곡로2길 7,126.981226721716,37.57500405238,https://place.map.kakao.com/1438318889,"['월~금', '07:30 ~ 20:00', '토,일', '09:00 ~ 17:00']"
북촌빙수,,카페,커피 전문점,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 18,서울특별시 종로구 돈화문로11다길 15,126.990536247607,37.5730476759366,https://place.map.kakao.com/1464651629,"['화~일', '13:00 ~ 18:00', '(재료소진시 조기마감)', '화~일 라스트오더', '~ 17:30', '휴무일', '월요일']"
커피기업,,카페,커피 전문점,종로1.2.3.4가동,수송동,서울특별시 종로구 수송동 156,서울특별시 종로구 삼봉로 71,126.981100163919,37.5726602546037,https://place.map.kakao.com/156353882,"['월~금', '07:00 ~ 21:00', '토', '10:00 ~ 18:00', '휴무일', '일요일']"
커피지원,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,관수동,서울특별시 종로구 관수동 15,서울특별시 종로구 수표로 90-1,126.989759472237,37.5693737917317,https://place.map.kakao.com/2132808170,[]
찬스사주작명카페,,카페,커피 전문점,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 146-1,서울특별시 종로구 인사동길 57,126.983502317598,37.574996638262,https://place.map.kakao.com/12082652,"['매일', '11:00 ~ 21:00', '이용시 주의 사항', '연중무휴']"
티앤아이1010,,카페,커피 전문점,종로1.2.3.4가동,관훈동,서울특별시 종로구 관훈동 29-23,서울특별시 종로구 인사동10길 10,126.985621930473,37.5739696638932,https://place.map.kakao.com/767584840,"['월,수,목,금,토,일', '10:00 ~ 19:00', '휴무일', '화요일']"
인사동가는길,,카페,커피 전문점,종로1.2.3.4가동,인사동,서울특별시 종로구 인사동 34-16,서울특별시 종로구 인사동길 20-20,126.987362486825,37.572506900174,https://place.map.kakao.com/8053121,[]
집,,카페,커피 전문점,종로1.2.3.4가동,종로1가,서울특별시 종로구 종로1가 24,서울특별시 종로구 종로 19,126.979902392746,37.5708388183663,https://place.map.kakao.com/1212822941,[]
뉴욕솜사탕,,카페,커피 전문점,종로1.2.3.4가동,공평동,서울특별시 종로구 공평동 70,서울특별시 종로구 우정국로 22-2,126.983172455934,37.5709481239591,https://place.map.kakao.com/1395707325,[]
