상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도,url,운영시간,dist
메가엠지씨커피종로,3가역점,카페,커피 전문점,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 204-1,서울특별시 종로구 돈화문로 27,126.991865776239,37.5709956522853,https://place.map.kakao.com/883295764,[],0.0575
하우종로,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 10-5,서울특별시 종로구 종로 129,126.992009374992,37.5704202117411,https://place.map.kakao.com/272233098,[],0.0791
컴포즈커피종로,3가점,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 19,서울특별시 종로구 종로 127-1,126.99165508862,37.5706694778224,https://place.map.kakao.com/249179932,"['월~금', '08:00 ~ 23:00', '토,일', '09:00 ~ 23:00']",0.0848
매머드익스프레스종로,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 19,서울특별시 종로구 종로 127,126.991621010391,37.5706781971534,https://place.map.kakao.com/343930974,"['월~금', '07:00 ~ 18:00', '토,일', '08:00 ~ 16:00']",0.0871
카페올웨이즈,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 139,서울특별시 종로구 종로 134,126.992465407264,37.5701808234036,https://place.map.kakao.com/21442089,[],0.0919
카페통,,카페,커피 전문점,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 136,서울특별시 종로구 돈화문로6나길 25,126.992794452466,37.5718055065417,https://place.map.kakao.com/18835632,"['월~금', '08:00 ~ 19:00']",0.0921
블루도트,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 18,서울특별시 종로구 종로 125,126.991530580506,37.5706684142602,https://place.map.kakao.com/1522948737,[],0.0948
지중해,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 146-1,서울특별시 종로구 종로 138-1,126.992963921879,37.570149035335,https://place.map.kakao.com/11155554,[],0.1031
보리수,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 147,서울특별시 종로구 종로 140,126.993088429184,37.5701500973732,https://place.map.kakao.com/10377465,[],0.1077
참호도과자앤커피,,카페,커피 전문점,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 190-1,서울특별시 종로구 돈화문로 35-1,126.991596207841,37.5716781416005,https://place.map.kakao.com/371070576,"['월~금', '09:00 ~ 18:30', '휴무일', '토,일요일']",0.1103
더쌍화피카디리,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 137,서울특별시 종로구 돈화문로5가길 1,126.991208911517,37.5710170721997,https://place.map.kakao.com/27192353,[],0.1154
피카디리cafe,,카페,커피 전문점,종로1.2.3.4가동,돈의동,서울특별시 종로구 돈의동 137,서울특별시 종로구 돈화문로5가길 1,126.991208911517,37.5710170721997,https://place.map.kakao.com/19813435,"['매일', '08:00 ~ 23:00']",0.1154
요거앤라떼,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 78,서울특별시 종로구 돈화문로8길 15,126.991988611061,37.5719608158324,https://place.map.kakao.com/21362522,"['월~금', '09:00 ~ 19:00', '토', '10:00 ~ 16:00']",0.1159
이디야커피,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 124,서울특별시 종로구 종로 126,126.991515717492,37.5700916205162,https://place.map.kakao.com/10748907,"['월~금', '08:00 ~ 23:10', '토', '08:30 ~ 23:10', '일', '09:30 ~ 22:10', '공휴일', '08:30 ~ 23:10']",0.1347
빈티지,,카페,커피 전문점,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 120-1,서울특별시 종로구 돈화문로6나길 28-5,126.992686998651,37.5722190688651,https://place.map.kakao.com/1906686016,[],0.1357
승리,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,장사동,서울특별시 종로구 장사동 31,서울특별시 종로구 종로22길 8-4,126.99300224524,37.5698249871248,https://place.map.kakao.com/9188079,[],0.1381
쥬씨종로종묘점,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 82-3,서울특별시 종로구 돈화문로 42,126.991827471521,37.5721576689279,https://place.map.kakao.com/1606491323,"['월~금', '10:00 ~ 19:50', '토', '10:00 ~ 18:50', '일', '10:00 ~ 17:50']",0.1417
카페마루,,카페,커피 전문점,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 184,서울특별시 종로구 돈화문로9길 2,126.99150103868,37.5720197244251,https://place.map.kakao.com/21330336,"['월~토', '10:00 ~ 23:00', '일', '10:00 ~ 18:00']",0.1439
Teastory,,카페,기타 비알코올 음료점업,종로1.2.3.4가동,묘동,서울특별시 종로구 묘동 88-1,서울특별시 종로구 돈화문로10길 2,126.991847923727,37.5723200310774,https://place.map.kakao.com/16874875,"['매일', '07:30 ~ 21:00']",0.1575
종묘전통다원,,카페,커피 전문점,종로1.2.3.4가동,봉익동,서울특별시 종로구 봉익동 38-4,서울특별시 종로구 서순라길 39,126.993399378128,37.5722792079237,https://place.map.kakao.com/2069498835,[],0.1614
메가엠지씨커피,,카페,커피 전문점,종로1.2.3.4가동,종로3가,서울특별시 종로구 종로3가 120,서울특별시 종로구 종로 122,126.991108482639,37.5700701200836,https://place.map.kakao.com/2015755028,"['월~금', '07:00 ~ 20:00', '토', '08:00 ~ 20:00', '공휴일', '09:00 ~ 20:00', '휴무일', '일요일', '설당일', '추석당일']",0.1621
