상호명,지점명,상권업종소분류명,표준산업분류명,행정동명,법정동명,지번주소,도로명주소,경도,위도
카페숲,,카페,커피 전문점,시흥5동,시흥동,서울특별시 금천구 시흥동 929-10,서울특별시 금천구 시흥대로40길 129,126.909939213116,37.4466892708074
매머드커피외대,,카페,커피 전문점,이문1동,이문동,서울특별시 동대문구 이문동 264-223,서울특별시 동대문구 천장산로7길 16,127.056961620734,37.5984928516124
포르마레,,카페,커피 전문점,성내1동,성내동,서울특별시 강동구 성내동 534-7,서울특별시 강동구 성내로9길 35,127.125070448044,37.5304744105399
카페브릿지,,카페,커피 전문점,여의동,여의도동,서울특별시 영등포구 여의도동 22,서울특별시 영등포구 여의대로 108,126.929094088335,37.5251836341679
더웨이유통할리스커피,,카페,커피 전문점,약수동,신당동,서울특별시 중구 신당동 368-66,서울특별시 중구 다산로 114,127.010407465389,37.5539516022101
이디야까치산로점,,카페,커피 전문점,화곡6동,화곡동,서울특별시 강서구 화곡동 1167,서울특별시 강서구 까치산로 182,126.85387186478,37.5533017090823
카페새싹,,카페,커피 전문점,상암동,상암동,서울특별시 마포구 상암동 1530,서울특별시 마포구 성암로13길 66,126.897809813793,37.5753449149129
더하우스1932,,카페,커피 전문점,중림동,만리동1가,서울특별시 중구 만리동1가 62-16,서울특별시 중구 만리재로35길 5,126.967414035773,37.5554125437227
홍콩다방홍대입구역점,,카페,커피 전문점,서강동,창전동,서울특별시 마포구 창전동 2-27,서울특별시 마포구 서강로11길 10,126.932956862046,37.5534212165495
티이,,카페,기타 비알코올 음료점업,신사동,신사동,서울특별시 강남구 신사동 521,서울특별시 강남구 강남대로162길 20,127.020302028057,37.5200015029666
러슬,,카페,커피 전문점,구의2동,구의동,서울특별시 광진구 구의동 612-10,서울특별시 광진구 자양로37길 63,127.085543420228,37.5486014905947
레츠그릭,,카페,기타 비알코올 음료점업,화곡1동,화곡동,서울특별시 강서구 화곡동 1074-15,서울특별시 강서구 화곡로26가길 18,126.839127915124,37.5407233989216
태산커피시그니쳐,,카페,커피 전문점,녹번동,녹번동,서울특별시 은평구 녹번동 176-6,서울특별시 은평구 응암로 347,126.922181388471,37.6021955121462
린덴,,카페,커피 전문점,망원1동,망원동,서울특별시 마포구 망원동 401-21,서울특별시 마포구 월드컵로23길 82-3,126.906052982136,37.5543373460791
포트캔커피영등포역남부점,,카페,커피 전문점,영등포본동,영등포동,서울특별시 영등포구 영등포동 618-549,서울특별시 영등포구 영신로19길 20,126.905637388332,37.5138587424306
비쥬,,카페,커피 전문점,발산1동,내발산동,서울특별시 강서구 내발산동 699-9,서울특별시 강서구 강서로47다길 17,126.834291410182,37.551929655953
문래커피클럽,,카페,커피 전문점,문래동,문래동6가,서울특별시 영등포구 문래동6가 8,서울특별시 영등포구 선유로 71,126.888859257233,37.5201715733046
애프터눈,,카페,커피 전문점,공릉1동,공릉동,서울특별시 노원구 공릉동 670-11,서울특별시 노원구 화랑로 449-7,127.076858436198,37.6186803186773
알베르금호,,카페,커피 전문점,금호4가동,금호동4가,서울특별시 성동구 금호동4가 173-9,서울특별시 성동구 금호로3길 14,127.024387498203,37.5476705127849
키쉬미뇽수유역사점,,카페,커피 전문점,수유3동,수유동,서울특별시 강북구 수유동 140,서울특별시 강북구 도봉로 338,127.025341101976,37.6377374244135
카페마차,,카페,커피 전문점,홍제1동,홍제동,서울특별시 서대문구 홍제동 156-7,서울특별시 서대문구 모래내로 468,126.946646241443,37.5859184588718
사이드에이원,,카페,커피 전문점,삼성1동,삼성동,서울특별시 강남구 삼성동 75-8,서울특별시 강남구 봉은사로 507,127.054276831911,37.5134844884181
페르비타,,카페,커피 전문점,장안2동,장안동,서울특별시 동대문구 장안동 310-4,서울특별시 동대문구 장한로 158,127.072175282708,37.5743843334153
샐러디서강대점,,카페,커피 전문점,대흥동,신수동,서울특별시 마포구 신수동 1-1,서울특별시 마포구 백범로 35,126.943045399174,37.5514936288891
